data_time,message
2024-03-26 18:15:14,"{""Temperature"":40.40,""Vibration"":{""RMS"":{""X"":51},""Kurtosis"":{""X"":265},""P2P"":{""X"":3},""Z2P"":{""X"":1}},""Timestamp"":1711437314,""SensorNodeId"":""13e5a6f7"",""SourceAddress"":""16230115"",""GatewayId"":""8fdeec5a"",""MeasDetails"":{""FftSize"":4096,""FftWindow"":1,""G-range"":4,""Precision"":1,""BinSize"":1000,""ValueOffset"":0,""Trigger"":1,""Id"":57},""Type"":""scalar""}"
2024-03-26 18:15:14,"{""SensorNodeId"":""13e5a6f7"",""Timestamp"":1711437314,""GatewayId"":""8fdeec5a"",""SourceAddress"":""16230115"",""BurstDetails"":{""DataType"":19,""MeasurementTimeInterval"":153,""BurstId"":134,""ValueMapping"":3},""MeasDetails"":{""Id"":57},""Type"":""scalar""}"
2024-03-26 18:15:14,"{""FragCount"":0,""ValueMapping"":3,""DataType"":19,""BurstId"":134,""SensorNodeId"":""13e5a6f7"",""Values"":[6,0,-6,5,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-15,36,-36,20,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-14,34,-15,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-9,31,-10],""GatewayId"":""8fdeec5a"",""BurstDataOffset"":0,""DataSize"":1002,""Type"":""burst"",""MeasurementId"":57,""MeasurementTimeInterval"":153}"
2024-03-26 18:15:14,"{""FragCount"":1,""ValueMapping"":3,""DataType"":19,""BurstId"":134,""SensorNodeId"":""13e5a6f7"",""Values"":[-21,21,-21,32,-21,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""GatewayId"":""8fdeec5a"",""BurstDataOffset"":99,""DataSize"":1002,""Type"":""burst"",""MeasurementId"":57,""MeasurementTimeInterval"":153}"
2024-03-26 18:15:15,"{""FragCount"":2,""ValueMapping"":3,""DataType"":19,""BurstId"":134,""SensorNodeId"":""13e5a6f7"",""Values"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""GatewayId"":""8fdeec5a"",""BurstDataOffset"":198,""DataSize"":1002,""Type"":""burst"",""MeasurementId"":57,""MeasurementTimeInterval"":153}"
2024-03-26 18:15:15,"{""FragCount"":3,""ValueMapping"":3,""DataType"":19,""BurstId"":134,""SensorNodeId"":""13e5a6f7"",""Values"":[0,0,0,0,10,-10,8,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-6,7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""GatewayId"":""8fdeec5a"",""BurstDataOffset"":297,""DataSize"":1002,""Type"":""burst"",""MeasurementId"":57,""MeasurementTimeInterval"":153}"
2024-03-26 18:15:16,"{""FragCount"":4,""ValueMapping"":3,""DataType"":19,""BurstId"":134,""SensorNodeId"":""13e5a6f7"",""Values"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""GatewayId"":""8fdeec5a"",""BurstDataOffset"":396,""DataSize"":1002,""Type"":""burst"",""MeasurementId"":57,""MeasurementTimeInterval"":153}"
2024-03-26 18:15:16,"{""FragCount"":5,""ValueMapping"":3,""DataType"":19,""BurstId"":134,""SensorNodeId"":""13e5a6f7"",""Values"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-12,7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""GatewayId"":""8fdeec5a"",""BurstDataOffset"":495,""DataSize"":1002,""Type"":""burst"",""MeasurementId"":57,""MeasurementTimeInterval"":153}"
2024-03-26 18:15:16,"{""FragCount"":6,""ValueMapping"":3,""DataType"":19,""BurstId"":134,""SensorNodeId"":""13e5a6f7"",""Values"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""GatewayId"":""8fdeec5a"",""BurstDataOffset"":594,""DataSize"":1002,""Type"":""burst"",""MeasurementId"":57,""MeasurementTimeInterval"":153}"
2024-03-26 18:15:17,"{""FragCount"":7,""ValueMapping"":3,""DataType"":19,""BurstId"":134,""SensorNodeId"":""13e5a6f7"",""Values"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""GatewayId"":""8fdeec5a"",""BurstDataOffset"":693,""DataSize"":1002,""Type"":""burst"",""MeasurementId"":57,""MeasurementTimeInterval"":153}"
